"","SpecCode","Species","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","Amphibious","AmphibiousRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"144","49539","Salmo pelagonicus","Salmo",59043,"Karaman, 1938",NA,"Sapel_u1.jpg",NA,NA,NA,76,"Salmoninae",6009,NA,"fusiform / normal","O",NA,NA,"0",-1,0,0,"benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.68,30,"SL",NA,NA,"59043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Questionable: based on ex-vessel price for species in this genus",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Occurs in mountain streams (Ref. 59043).",NA,"0.5",0,1,"1998-09-09T00:00:00Z","10","2010-07-09T00:00:00Z",NA,NA,NA
"145","68960","Salmo pellegrini","Salmo",107622,"Werner, 1931",NA,NA,NA,NA,NA,76,"Salmoninae",6009,NA,NA,"O",NA,NA,"0",-1,0,0,"benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.53,20.0900001525879,"SL",NA,NA,"107622",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,"0.5",0,675,"2019-01-23T18:12:06Z","675","2019-01-24T18:50:34Z",NA,NA,NA
"146","49327","Salmo peristericus","Salmo",59043,"Karaman, 1938",NA,"Saper_u0.jpg",NA,NA,NA,76,"Salmoninae",6009,NA,"fusiform / normal","O",NA,NA,"0",-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.34,35,"SL",NA,NA,"59043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Questionable: based on ex-vessel price for species in this genus",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Found in streams.  Believed to be originally an inhabitant of lakes entering streams to spawn, then returning to lake.  Habitat modifications and water abstraction have interrupted the lower course of most streams and distribution is confined to headwaters, possibly to two streams only.  Spawns in November (Ref. 59043).",NA,"0.5",0,10,"1998-08-07T00:00:00Z","10","2010-07-09T00:00:00Z",NA,NA,NA
"147","6209","Salmo platycephalus","Salmo",85599,"Behnke, 1968","Flathead trout","Sapla_u0.jpg",NA,NA,NA,76,"Salmoninae",6009,NA,"fusiform / normal","O",NA,"Maybe based on <i>S. trutta</i>. Date Eschmeyer, pers. comm.","0",-1,0,0,"benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.52,55,"SL","21.799999237060547","SL","99540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4537,"commercial","very high","Questionable: based on ex-vessel price for species in this genus",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Possibly based on introduced <i>S. trutta</i> (Ref. 4537).",NA,"0.5",0,22,"1992-08-03T00:00:00Z","65","2015-01-30T00:00:00Z","1","1994-03-08T00:00:00Z",NA
"148","49328","Salmo rhodanensis","Salmo",59043,"Fowler, 1974",NA,NA,NA,NA,NA,76,"Salmoninae",6009,NA,"fusiform / normal","O",NA,NA,"0",-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.36,80,"SL",NA,NA,"59043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Questionable: based on ex-vessel price for species in this genus",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits rivers and streams in clear, cold, well oxygenated water and with slow to fast current. Preys on invertebrates, fish and amphibians.  Spawns in late December on gravel or coarse sand.  Several populations represent a significant proportion of hybrids with <i>Salmo trutta</i>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","65598","Salmo rizeensis","Salmo",85599,"Turan, Kottelat & Engin, 2010","Rize trout","Sariz_u0.jpg",NA,NA,NA,76,"Salmoninae",6009,NA,"fusiform / normal","O",NA,NA,"0",-1,0,0,"benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.05,25,"SL",NA,NA,"85599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Occurs in small pools of streams with cold, clear and very swift flowing water, with high concentration of dissolved oxygen and substrate consisting of rocks, stones and few pebbles.  Spends whole life and spawns in the upper reaches.  Does not undertake migration during spawning period.  Spawns in September-October.  Overwinters into sand or gravel or under rocks and stones in small streams.  Seems to stop feeding during winter as all specimens collected in winter had empty stomach (Ref. 85599).",NA,"0.5",0,10,"2010-07-09T00:00:00Z","10","2018-10-24T00:00:00Z",NA,NA,NA
"150","236","Salmo salar","Salmo",86798,"Linnaeus, 1758","Atlantic salmon","Sasal_ub.jpg",NA,NA,NA,76,"Salmoninae",6009,NA,"fusiform / normal","O",NA,NA,"0",-1,-1,-1,"benthopelagic",NA,NA,"anadromous",92381,"0",210,57178,10,23,NA,13,"274",3.29999995231628,72465,61.58,150,"TL","120","TL","7251","38","TL",NA,NA,3561,46764,NA,41037,"SASAL_U3",NA,NA,NA,7306,"highly commercial","very high","Reliable: based on ex-vessel price for this species",NA,"more than 500,000","Norway in area 27","seines",NA,0,-1,0,"-1",0,"0",0,0,-1,"-1","commercial","life cycle closed in commercial culture",12108,"never/rarely",NA,"never/rarely",NA,NA,"-1",4699,"harmless",NA,"no special ability",NA,NA,-1,"Amphihaline species, spending most of its life in freshwater (Ref. 51442). Occurs in lakes and rocky runs and pools of small to large rivers (Ref. 86798).  Some landlocked populations exist. Found in all rivers where temperature rises above 10° C for about 3 months per year and does not exceed 20° C for more than a few weeks in summer (Ref. 59043) (preferred temperatures 4-12°C). Juveniles may live in cold lakes in northern Europe (Ref. 59043). Parr (i.e. juveniles) are territorial and are found in the upper reaches of rivers and streams, in riffle areas with strong current and rough gravel bottoms (Ref. 7471). During winter, parr seek refuge in small spaces or under stones during the day (Refs. 59043, 89461). Young remain in freshwater for 1 to 6 years, then migrate to coastal marine waters or even to open oceans where they remain for 1 to 4 years before returning to freshwater  for spawning (Ref. 51442). Adults inhabit cooler waters with strong to moderate flow (Ref. 44894). The Atlantic salmon is reported to live up to 10 years, but most individuals only reach 4-6 years (Ref. 88187). Juveniles feed mainly on aquatic insects, mollusks, crustaceans and fish; adults at sea feed on squids, shrimps, and fish (Ref. 51442). Most populations depend mostly or exclusively on stocking due to degradations of environmental conditions.  Fishing pressure on wild stocks has decreased due to intensive farming but other problems have increased. Farmed salmons escape in large numbers and move to any river and hybridize with wild stocks (Ref. 59043). This species may hybridize with trout (Salmo trutta) (Ref. 59043). Diseases of the species include furunculosis (Aeromonas salmonicida), corynebacterial kidney disease (Renibacterium salmoninarum), enteric red mouth disease (Yersinia ruckeri), infectious pancreatic necrosis virus, bacterial kidney disease, fin rot and fungus infections (Ref. 5951). Marketed fresh, dried or salted, smoked, and frozen; eaten steamed, fried, broiled, cooked in microwave, and baked (Ref. 9988).",NA,"0.5",0,2,"1990-10-17T00:00:00Z","10","2018-05-09T00:00:00Z","97","2003-01-09T00:00:00Z",NA
"151","49546","Salmo schiefermuelleri","Salmo",13696,"Bloch, 1784",NA,NA,NA,NA,NA,76,"Salmoninae",6009,NA,NA,"O",NA,NA,"0",-1,0,0,"benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.15,70,"SL",NA,NA,"59043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Questionable: based on ex-vessel price for species in this genus",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Lacustrine species, not reported to migrate to tributaries. Feeds on fish. (Ref. 59043).",NA,"0.5",0,1,"1998-09-09T00:00:00Z","1790","2008-01-28T21:03:54Z",NA,NA,NA
"152","49329","Salmo stomachicus","Salmo",13696,"Günther, 1866",NA,"Sasto_u0.jpg",NA,NA,NA,76,"Salmoninae",6009,NA,"fusiform / normal","O",NA,NA,"0",-1,0,0,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.79,36,"SL",NA,NA,"59043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Questionable: based on ex-vessel price for species in this genus",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits lakes in shallow areas.  Feeds mainly on snails and trichopteran larvae, supplemented by other benthic invertebrates.  Spawns near or in lake outlet.  Spawning may also occur on sandy bays in middle region of northern shore.  Attains a maximum size of about 36 cm SL (Ref. 59043).",NA,"0.5",0,10,"1998-08-07T00:00:00Z","10","2010-07-05T00:00:00Z",NA,NA,NA
"153","49576","Salmo taleri","Salmo",59043,"(Karaman, 1933)",NA,"Satal_u0.jpg",NA,NA,NA,76,"Salmoninae",6009,NA,"fusiform / normal","O",NA,NA,"0",-1,0,0,"benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.68,30,"SL",NA,NA,"59043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Questionable: based on ex-vessel price for species in this genus",NA,NA,NA,NA,NA,0,0,0,"0",0,"0",0,0,0,"0","never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,"0",NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabits mountain streams (Ref. 59043).",NA,"0.5",0,1,"1998-09-10T00:00:00Z","10","2010-07-09T00:00:00Z",NA,NA,NA
